Positive output values:
https://terrathread.com/: organic, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://anchalproject.org/: organic, social impact, AZO-free, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://www.nudiejeans.com/: organic, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://www.fairindigo.com/: organic, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://recreateclothing.co.nz/: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://eticadenim.com/: REACh, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://www.happyearthapparel.com/: organic, recycled, B corp, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://joinyesand.com/: organic, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://orbasics.com/: organic, social responsibility, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://yesfriends.co/: organic, fair trade, living wage, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://shop.mango.com/us/en/h/women: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://www.zaful.com/clothes-e_1: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://www.nastygal.com/womens: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://oldnavy.gap.com/: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://www.fashionnova.com/: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://us.motelrocks.com/: recycled, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://www.missguided.com/: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://www.yesstyle.com/en/women-clothing/list.html/bcc.14071_bpt.46: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://bananarepublic.gap.com/: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://edikted.com/: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/pages/terra-thread-shipping: organic, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/terra-thread-products: organic, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/pages/terra-thread-press-kit: organic, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/backpacks: organic, GOTS certified, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/travel-bags: organic, GOTS certified, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/sustainable-tote-bags: organic, GOTS certified, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/fanny-pack-sling-bag: organic, REACh, fair trade, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/laptop-sleeves: organic, GOTS certified, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/pouches-makeup-pouches: organic, GOTS certified, fair trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/pages/about-terrathread: organic, B corp, fair trade, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/apparel-roc/products/organic-cotton-zip-up-hoodies: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-zip-up-hoodies?variant=39937229946964: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-zip-up-hoodies?variant=39937230176340: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-zip-up-hoodies?variant=39937230635092: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-zip-up-hoodies?variant=39937230405716: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/apparel-roc/products/organic-cotton-t-shirts: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-t-shirts?variant=39937229226068: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-t-shirts?variant=39937229455444: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-t-shirts?variant=39937228996692: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-t-shirts?variant=39937229684820: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/apparel-roc/products/organic-cotton-pullover-hoodies: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-pullover-hoodies?variant=39937231093844: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-pullover-hoodies?variant=39937231552596: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-pullover-hoodies?variant=39937231323220: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/products/organic-cotton-pullover-hoodies?variant=39937230864468: organic, REACh, fair trade, Regenerative Organic Certified, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
https://terrathread.com/collections/apparel-roc/products/organic-cotton-beanies: organic, REACh, fair trade, GOTS certified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
